Nit,Fecha Corte,Punto Entrada,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente",Activos biológicos corrientes,Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,Propiedad de inversión,"Propiedades, planta y equipo",Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones contabilizadas utilizando el método de la participación,"Inversiones en subsidiarias, negocios conjuntos y asociadas",Activos biológicos no corrientes,Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo la garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,"Pasivos por impuestos corrientes, corriente",Otros pasivos financieros corrientes,Otros pasivos no financieros corrientes,Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,"Pasivos por impuestos corrientes, no corriente",Otros pasivos financieros no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Patrimonio total,Total de patrimonio y pasivos
830058272,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,8193663,44826937,10635811,10018119,,,634818,,74309348,,74309348,,16900537,,1375741,,,,12607687,,5036307,,,,,35920272,110229620,,10721912,10721912,23528303,5143445,5498455,12859150,57751265,,57751265,,376024,376024,,,,663991,,1040015,58791280,62604292,,,,,,1420236,-12586188,51438340,110229620
830058272,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,6334042,53383578,16974776,9138350,,,911850,,86742596,,86742596,,21896391,,1819298,,,,,,6372162,,,,,30087851,116830447,,6076019,6076019,56064308,6184578,12375283,14347728,95047916,,95047916,,89647,89647,,,,6118446,,6208093,101256009,18640240,,,,,,1420236,-4486038,15574438,116830447
890200463,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,13607211,14292826,21483137,,,,83253,,49466427,,49466427,,428844622,,67683,,82147612,,118008,,,,,72176,,511250101,560716528,6543336,,6543336,167813536,2851104,,7009257,184217233,,184217233,3028303,6439054,9467357,,57725373,,,,67192730,251409963,305131,78273,0,,0,100178340,72703487,136041334,309306565,560716528
890200463,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,11612945,13883066,16498812,959602,,,81400,,43035825,,43035825,,440175977,,,55717321,,,117473,,,,128497,,,496139268,539175093,6066800,,6066800,143766312,,,5073886,154906998,,154906998,3712749,7498847,11211596,,60120233,,,,71331829,226238827,305131,78273,0,,0,100178340,81747704,130626818,312936266,539175093
890930534,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,3232147,20218723,8836217,5750047,0,68240,770374,0,38875748,0,38875748,5318888,69706463,0,2967053,0,43236330,0,2869802,0,1990855,0,504,0,0,126089895,164965643,2580822,0,2580822,16745514,3175465,15751616,563232,38816649,0,38816649,0,0,0,26751709,6451897,0,27725438,0,60929044,99745693,1600000,22582312,0,,,25298301,7808131,7931206,65219950,164965643
890930534,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,3586044,26645941,5392666,4465668,0,611,591307,0,40682237,0,40682237,3872278,60063265,0,2261696,0,36991641,0,0,0,2177835,0,66492,0,0,105433207,146115444,2323430,0,2323430,39908957,2460430,12774716,1875036,59342569,0,59342569,0,0,0,8562673,7693137,0,28338948,0,44594758,103937327,1500000,492312,963189,,0,24786445,11289933,5072616,42178117,146115444
800017113,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,88532,878672,20863570,1487274,,95826,,,23413874,,23413874,,129806,,,,30768817,,1267037,,,,,5000000,,37165660,60579534,,,,4903107,,6486493,,11389600,,11389600,,,,27209214,,,6046713,,33255927,44645527,900000,,,,,,347873,14686134,15934007,60579534
800017113,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,2500134,4710207,15026307,1184058,,400,,,23421106,,23421106,,173156,,,,31708450,,1265042,,,,,5002117,,38148765,61569871,,,,3163291,,10422689,,13585980,,13585980,,,,21707305,,,9374999,,31082304,44668284,900000,,,,,,333630,15667957,16901587,61569871
800202510,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,2205037,7449379,9816610,878564,,3592394,72568,,24014552,,24014552,7356592,22029759,,70893,4846,401461,,,,1750036,,,13050,,31626637,55641189,,,,6801802,1001984,2513678,69635,10387099,,10387099,,400386,400386,15851897,4694771,,136814,,21083868,31470967,102000,,,,,17319855,58916,6689451,24170222,55641189
800202510,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,4534394,6606692,4451650,1004576,,49440,,,16646752,,16646752,7356592,21384192,,123572,4963,2191190,,,,1861247,,,13050,,32934806,49581558,,,,6237094,1262206,337082,289821,8126203,,8126203,,0,0,15591576,4154130,,155970,,19901676,28027879,102000,,,,,17585803,58916,3806960,21553679,49581558
800244309,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,4410416,29205994,0,4847677,0,0,0,0,38464087,,38464087,0,1241554,0,301410,0,1863087,0,9704881,,82381,0,0,0,0,13193313,51657400,1180377,0,1180377,23876375,517185,1415133,267720,27256790,0,27256790,,,,3012053,93188,0,3579299,14279298,20963838,48220628,1197980,0,0,,0,0,597890,1640902,3436772,51657400
800244309,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,4692216,23300596,0,3978766,0,0,0,0,31971578,,31971578,0,1057859,0,138619,0,2195823,0,25691975,0,582468,0,0,0,0,29666744,61638322,1116019,0,1116019,27605800,1556474,57699,533916,30869908,0,30869908,,,,7852102,0,0,4026360,15035177,26913639,57783547,1197980,0,0,,0,0,743282,1913513,3854775,61638322
891304849,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,398390,24834694,30507816,895367,,1765159,291631,,58693057,,58693057,,18028224,,80889,4240256,18900686,,,,,,,114192,,41364247,100057304,1269792,1079300,2349092,23637450,1360393,17863816,3573673,48784424,,48784424,,,,10045781,675758,,15209862,607999,26539400,75323824,8929482,,,,,12182497,2752436,869065,24733480,100057304
891304849,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,1995747,19215689,20741332,849266,,691660,162854,,43656548,,43656548,,19469322,,85899,5039670,15051401,,,,,,,,,39646292,83302840,1025479,3721560,4747039,11420436,1270611,19088692,1227419,37754197,,37754197,,,,12225317,591714,,9778069,0,22595100,60349297,8678212,,,,,11253866,1903193,1118272,22953543,83302840
890910447,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,18195,12076318,,,,,,,12094513,,12094513,,1628472,,94368,,1510000,,,,163291,,,,,3396131,15490644,14282,,14282,4544499,250947,2696510,51682,7557920,,7557920,,126239,126239,,417127,,,,543366,8101286,3269185,,,,,,781313,3338860,7389358,15490644
890910447,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,77641,13060737,,,,,,,13138378,,13138378,,565606,,1487675,,10000,,,,681713,,,,,2744994,15883372,,,,5118004,790514,50000,,5958518,,5958518,11498,195158,206656,,1214986,,1697022,,3118664,9077182,3226831,,,,,,781313,2798046,6806190,15883372
860522602,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,733998,5832898,1049667,70,,23936,7885,,7648454,,7648454,11060897,62172,,,,1253280,,,,0,28307,30000,15992575,,28427231,36075685,65778,,65778,487948,17101,,46071,616898,,616898,,,,11638284,155473,,,,11793757,12410655,5290000,,,,,,1985888,16389142,23665030,36075685
860522602,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,1260095,5548181,1691090,0,,12358,21772,,8533496,,8533496,11671001,42776,,,,,,,,83489,57553,30000,16031496,,27916315,36449811,52408,,52408,922429,81984,,9463,1066284,,1066284,,,,10973472,103982,,,,11077454,12143738,5290000,,,,,,2049992,16966081,24306073,36449811
891401705,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,516600,37694519,18288430,5113251,14319805,,173614,,76106219,,76106219,,389573215,,187530,,,,5337221,,3334628,,5922282,,,404354876,480461095,1647282,,1647282,26827854,40629,20064825,5421547,54002137,,54002137,27101,164417,191518,,36728400,,194977520,,231897438,285899575,1977037,106,,,,,83301811,109282566,194561520,480461095
